"id_ciudad","id_region","ciudad","origen","destino","_tx"
1,13,SANTIAGO,1,1,1
2,8,CONCEPCION,1,1,1
3,16,SAN CARLOS,1,1,1
4,4,LA SERENA,1,1,1
5,1,IQUIQUE,1,1,1
6,11,COYHAIQUE,1,1,1
7,5,CABILDO,1,1,1
8,8,CABRERO,1,1,1
9,9,CAJON,0,1,1
10,2,CALAMA,1,1,1
11,10,CALBUCO,1,1,1
12,3,CALDERA,1,1,1
14,8,CANETE,1,1,1
15,9,CARAHUE,1,1,1
16,8,CARAMPANGUE,0,1,1
17,3,CHANARAL,1,1,1
18,8,CHIGUAYANTE,1,1,1
19,16,CHILLAN,1,1,1
20,8,HUALPENCILLO,0,1,1
23,16,COELEMU,1,1,1
24,9,COLLIPULLI,1,1,1
25,6,SANTA CRUZ,1,1,1
26,3,COPIAPO,1,1,1
27,4,COQUIMBO,1,1,1
28,8,CORONEL,1,1,1
30,9,CURACAUTIN,1,1,1
31,8,CURANILAHUE,1,1,1
32,7,CURICO,1,1,1
33,9,ERCILLA,1,1,1
34,9,FREIRE,1,1,1
35,10,FRESIA,1,1,1
36,10,FRUTILLAR,1,1,1
38,9,GORBEA,1,1,1
39,15,ARICA,1,1,1
40,5,LA CALERA,1,1,1
41,8,LAJA,1,1,1
42,5,LA LIGUA,1,1,1
43,14,LA UNION,1,1,1
44,14,LANCO,1,1,1
45,9,LAUTARO,1,1,1
46,8,LEBU,1,1,1
48,16,QUILLON,1,1,1
49,5,MARBELLA,0,1,1
50,9,LONCOCHE,1,1,1
51,5,PLAYA ANCHA,0,1,1
52,8,LOS ALAMOS,1,1,1
53,8,LOS ANGELES,1,1,1
54,14,LOS LAGOS,1,1,1
55,9,LOS SAUCES,0,1,1
56,8,LOTA,1,1,1
57,6,MACHALI,1,1,1
58,2,MARIA ELENA,1,1,1
59,2,MEJILLONES,1,1,1
60,8,MULCHEN,1,1,1
61,8,NACIMIENTO,1,1,1
62,9,NUEVA IMPERIAL,1,1,1
63,10,OSORNO,1,1,1
64,4,OVALLE,1,1,1
65,14,PAILLACO,1,1,1
66,14,PANGUIPULLI,1,1,1
67,5,PAPUDO,1,1,1
69,8,PENCO,1,1,1
71,9,PITRUFQUEN,1,1,1
72,1,POZO ALMONTE,1,1,1
73,9,PUCON,1,1,1
74,10,PUERTO MONTT,1,1,1
75,10,PUERTO VARAS,1,1,1
77,10,PURRANQUE,1,1,1
78,5,QUILPUE,1,1,1
79,16,QUIRIHUE,1,1,1
80,6,RANCAGUA,1,1,1
81,5,RENACA,1,1,1
82,6,RENGO,1,1,1
83,14,RIO BUENO,1,1,1
84,2,ANTOFAGASTA,1,1,1
85,6,SAN FERNANDO,1,1,1
86,14,SAN JOSE DE LA MARIQUINA,1,1,1
87,8,SANTA BARBARA,1,1,1
88,9,ANGOL,1,1,1
89,8,ARAUCO,1,1,1
91,7,TALCA,1,1,1
92,8,TALCAHUANO,1,1,1
93,2,TALTAL,1,1,1
94,9,TEMUCO,1,1,1
95,2,TOCOPILLA,1,1,1
96,8,TOME,1,1,1
97,9,TRAIGUEN,1,1,1
98,14,VALDIVIA,1,1,1
99,3,VALLENAR,1,1,1
100,5,VALPARAISO,1,1,1
101,9,VICTORIA,1,1,1
103,9,VILLARRICA,1,1,1
104,5,VINA DEL MAR,1,1,1
105,8,YUMBEL,1,1,1
106,5,ZAPALLAR,1,1,1
108,5,LLAILLAY,1,1,1
109,5,EL MELON,0,1,1
110,5,CATEMU,1,1,1
118,2,SIERRA GORDA,1,1,1
121,12,PUNTA ARENAS,1,1,1
122,9,VILCUN,1,1,1
150,2,SAN PEDRO DE ATACAMA,1,1,1
154,9,GALVARINO,1,1,1
159,3,PAIPOTE,0,1,1
160,3,TIERRA AMARILLA,0,1,1
165,3,EL SALVADOR,1,1,1
166,3,DIEGO DE ALMAGRO,1,1,1
169,3,ALTO DEL CARMEN,0,1,1
171,3,HUASCO,1,1,1
177,4,VICUNA,1,1,1
180,3,PAN DE AZUCAR,0,1,1
183,4,GUANAQUEROS,0,1,1
185,4,TONGOY,0,1,1
187,4,SOTAQUI,0,1,1
188,4,LA CHIMBA,0,1,1
189,4,EL PALQUI,0,1,1
190,4,MONTE PATRIA,0,1,1
192,5,SAN ESTEBAN,0,1,1
193,4,CHANARAL ALTO,0,1,1
194,4,COMBARBALA,0,1,1
195,4,LOS VILOS,1,1,1
196,4,ILLAPEL,1,1,1
198,4,SALAMANCA,1,1,1
200,5,CATAPILCO,0,1,1
202,5,LAS CRUCES,0,1,1
203,5,CACHAGUA,0,1,1
204,5,EL TABO,0,1,1
205,5,MAITENCILLO,1,1,1
206,5,ISLA NEGRA,0,1,1
207,5,PUCHUNCAVI,1,1,1
208,5,VILLA ALEMANA,1,1,1
209,5,SAN SEBASTIAN,0,1,1
210,5,QUILLOTA,1,1,1
211,5,RINCONADA,0,1,1
213,5,SAN FELIPE,1,1,1
214,5,LOS ANDES,1,1,1
215,5,LA CRUZ,1,1,1
216,5,LIMACHE,1,1,1
217,5,OLMUE,0,1,1
218,5,HIJUELAS,0,1,1
219,5,CURAUMA,1,1,1
221,5,LAGUNA VERDE,0,1,1
223,5,CONCON,1,1,1
224,5,BELLOTO,0,1,1
225,5,QUINTERO,1,1,1
227,5,SAN ANTONIO,1,1,1
