"id_ciudad","id_comuna","_tx"
1,294,1
1,295,1
1,296,1
1,297,1
1,298,1
1,299,1
1,300,1
1,301,1
1,302,1
1,303,1
1,304,1
1,305,1
1,306,1
1,307,1
1,308,1
1,322,1
1,323,1
1,324,1
1,325,1
1,326,1
1,327,1
1,328,1
1,329,1
1,330,1
1,331,1
1,332,1
1,333,1
1,334,1
1,335,1
1,336,1
1,337,1
1,338,1
1,339,1
1,340,1
2,161,1
3,145,1
4,29,1
5,5,1
6,270,1
7,46,1
8,158,1
9,210,1
10,13,1
10,14,1
11,254,1
12,23,1
14,183,1
15,219,1
16,180,1
17,20,1
18,163,1
19,170,1
19,177,1
20,343,1
23,152,1
24,199,1
25,104,1
26,22,1
27,34,1
28,169,1
30,206,1
31,181,1
32,115,1
33,200,1
34,215,1
35,249,1
36,251,1
38,225,1
39,1,1
40,51,1
41,195,1
42,44,1
43,236,1
44,230,1
45,208,1
46,179,1
48,149,1
49,70,1
50,226,1
51,70,1
52,182,1
53,186,1
54,233,1
55,204,1
56,178,1
57,86,1
58,12,1
59,17,1
60,192,1
61,194,1
62,220,1
63,240,1
64,35,1
65,237,1
66,235,1
67,48,1
69,164,1
71,216,1
72,10,1
73,223,1
74,252,1
75,247,1
77,245,1
78,68,1
79,155,1
80,82,1
81,73,1
82,89,1
83,238,1
84,16,1
85,99,1
85,101,1
86,229,1
87,190,1
88,197,1
89,180,1
91,124,1
92,160,1
93,19,1
94,213,1
95,11,1
96,165,1
97,201,1
98,228,1
99,25,1
100,70,1
101,207,1
103,224,1
104,73,1
105,159,1
106,47,1
108,64,1
109,52,1
110,65,1
118,18,1
121,282,1
122,210,1
150,15,1
154,212,1
159,22,1
160,24,1
165,21,1
166,21,1
169,28,1
171,27,1
177,32,1
180,20,1
183,34,1
185,34,1
187,35,1
188,35,1
189,37,1
190,37,1
192,57,1
193,37,1
194,38,1
195,42,1
196,40,1
198,41,1
200,47,1
202,78,1
203,47,1
204,78,1
205,55,1
206,79,1
207,55,1
208,69,1
209,77,1
210,49,1
211,59,1
213,60,1
214,56,1
215,50,1
216,66,1
217,67,1
218,53,1
219,70,1
221,70,1
223,74,1
224,68,1
225,54,1
227,76,1
229,62,1
233,75,1
234,174,1
235,83,1
236,88,1
237,94,1
238,87,1
241,85,1
245,93,1
246,94,1
250,90,1
251,90,1
253,98,1
254,96,1
255,97,1
256,91,1
266,95,1
268,100,1
269,102,1
271,103,1
272,102,1
276,128,1
282,127,1
283,138,1
284,137,1
292,140,1
293,142,1
294,118,1
298,116,1
299,119,1
307,162,1
309,285,1
325,164,1
333,175,1
344,214,1
345,218,1
368,228,1
385,259,1
388,256,1
389,257,1
437,310,1
439,342,1
440,291,1
441,314,1
442,319,1
443,320,1
444,292,1
445,317,1
446,310,1
447,318,1
448,315,1
449,312,1
450,321,1
451,311,1
452,318,1
453,341,1
454,342,1
456,317,1
458,309,1
461,321,1
502,108,1
508,134,1
514,69,1
516,89,1
518,52,1
523,345,1
572,58,1
575,310,1
588,80,1
589,79,1
591,77,1
592,76,1
593,272,1
594,248,1
600,400,1
601,222,1
602,246,1
603,234,1
604,148,1
605,234,1
606,239,1
888,16,1
1007,81,1
1011,51,1
1015,104,1
1015,107,1
1016,99,1
1018,84,1
1019,55,1
1020,250,1
1021,26,1
1022,9,1
1023,6,1
1024,31,1
1025,30,1
1026,43,1
1027,39,1
1028,63,1
1030,92,1
1031,109,1
1032,126,1
1033,120,1
1034,121,1
1035,123,1
1036,117,1
1037,122,1
1038,131,1
1039,132,1
1040,125,1
1041,130,1
1042,133,1
1043,136,1
1044,141,1
1045,135,1
1046,171,1
1047,146,1
1048,176,1
1049,172,1
1050,173,1
1051,157,1
1052,166,1
1053,168,1
1054,193,1
1055,189,1
1056,392,1
1057,185,1
1058,221,1
1059,217,1
1060,205,1
1061,203,1
1062,263,1
1063,265,1
1064,244,1
1065,243,1
1067,293,1
1068,260,1
1069,255,1
1070,209,1
1071,262,1
1072,258,1
1073,198,1
1074,241,1
1081,61,1
1083,196,1
1085,401,1
1086,231,1
1088,253,1
1089,227,1
1090,202,1
1092,235,1
1093,224,1
1096,8,1
1100,10,1
1108,18,1
1130,15,1
1132,25,1
1143,29,1
1145,35,1
1147,33,1
1152,34,1
1154,34,1
1155,33,1
1156,36,1
1157,37,1
1158,34,1
1162,114,1
1164,67,1
1165,44,1
1168,42,1
1170,45,1
1171,75,1
1173,34,1
1174,55,1
1175,86,1
1177,112,1
1178,111,1
1179,105,1
1180,110,1
1181,86,1
1184,114,1
1187,70,1
1188,106,1
1190,98,1
1193,144,1
1194,143,1
1195,129,1
1197,121,1
1198,139,1
1199,118,1
1200,143,1
1201,126,1
1202,136,1
1204,121,1
1205,188,1
1207,178,1
1208,154,1
1210,184,1
1211,165,1
1212,152,1
1213,167,1
1215,187,1
1217,180,1
1218,158,1
1219,148,1
1220,199,1
1222,156,1
1224,151,1
1225,191,1
1226,150,1
1230,187,1
1235,343,1
1237,202,1
1239,213,1
1241,211,1
1245,215,1
1247,217,1
1248,208,1
1250,252,1
1252,247,1
1253,257,1
1254,235,1
1258,255,1
1261,243,1
1262,247,1
1264,268,1
1266,267,1
1267,267,1
1270,229,1
1275,235,1
1276,269,1
1277,247,1
1278,261,1
1280,264,1
1285,242,1
1286,241,1
1287,261,1
1288,266,1
1289,254,1
1290,272,1
1292,275,1
1296,274,1
1298,273,1
1301,272,1
1302,274,1
1304,278,1
1305,273,1
1306,272,1
1307,271,1
1308,276,1
1310,275,1
1311,279,1
1312,273,1
1313,290,1
1315,287,1
1317,284,1
1319,280,1
1320,287,1
1321,289,1
1323,283,1
1324,281,1
1325,286,1
1327,288,1
1328,326,1
1329,56,1
1330,56,1
1331,313,1
1333,311,1
1334,60,1
1336,311,1
1337,342,1
1340,293,1
1343,316,1
1345,130,1
1346,312,1
1347,310,1
1348,72,1
1349,71,1
1352,4,1
1353,1,1
1354,3,1
1356,2,1
1359,36,1
1361,32,1
1362,42,1
1363,42,1
1364,43,1
1365,115,1
1366,114,1
1367,150,1
1368,153,1
1372,223,1
1376,276,1
1378,115,1
1379,160,1
1380,163,1
1381,277,1
1384,252,1
1447,158,1
1452,292,1
1463,113,1
1465,235,1
1466,235,1
1467,235,1
1468,235,1
1469,235,1
1470,175,1
1471,221,1
1472,180,1
1473,210,1
1474,227,1
1475,29,1
1476,29,1
1477,34,1
1478,29,1
1479,29,1
1480,32,1
1481,32,1
1482,33,1
1483,30,1
1484,30,1
1485,35,1
1486,34,1
1487,34,1
1488,34,1
1491,31,1
1492,34,1
1493,34,1
1494,295,1
1495,295,1
1496,326,1
1497,295,1
1498,326,1
1499,326,1
1500,342,1
1501,342,1
1502,342,1
1503,342,1
1505,342,1
1506,311,1
1507,342,1
1508,311,1
1512,35,1
1513,35,1
1514,35,1
1515,35,1
1516,36,1
1517,35,1
1518,37,1
1519,37,1
1520,37,1
1521,37,1
1522,35,1
1523,36,1
1524,36,1
1525,34,1
1526,37,1
1527,257,1
1528,257,1
1529,257,1
1531,257,1
1532,257,1
1533,257,1
1534,257,1
1535,257,1
1536,257,1
1537,257,1
1538,258,1
1539,257,1
1540,257,1
1541,257,1
1542,233,1
1543,257,1
1544,257,1
1545,257,1
1546,10,1
1547,10,1
1548,242,1
2315,4,1
2317,3,1
2318,1,1
2319,3,1
2320,3,1
2321,3,1
2322,1,1
2324,2,1
2325,2,1
2327,3,1
2328,4,1
2329,2,1
2330,6,1
2331,8,1
2332,6,1
2333,9,1
2334,6,1
2335,8,1
2336,7,1
2337,9,1
2338,8,1
2339,9,1
2341,12,1
2342,19,1
2344,17,1
2345,11,1
2346,28,1
2347,21,1
2349,33,1
2350,39,1
2353,27,1
2354,28,1
2355,27,1
2358,44,1
2359,46,1
2360,86,1
2362,89,1
2363,89,1
2364,98,1
2366,98,1
2368,109,1
2369,154,1
2370,152,1
2372,165,1
2373,175,1
2375,183,1
2376,205,1
2377,235,1
2379,218,1
2381,235,1
2383,228,1
2384,239,1
2387,242,1
2388,242,1
2389,242,1
2390,242,1
2392,248,1
2393,276,1
2398,270,1
2401,271,1
2406,285,1
2408,289,1
2409,280,1
2412,285,1
2414,288,1
2416,189,1
2417,187,1
2419,193,1
2420,187,1
2421,86,1
2423,193,1
2424,100,1
2425,111,1
2427,110,1
2428,109,1
2429,96,1
2430,99,1
2434,15,1
2435,13,1
2437,13,1
2438,13,1
2439,143,1
2440,171,1
2441,177,1
2442,170,1
2443,173,1
2444,171,1
2445,171,1
2449,266,1
2453,266,1
2459,312,1
2460,312,1
2462,295,1
2463,319,1
2464,340,1
2465,312,1
2466,342,1
2467,313,1
2469,342,1
2471,312,1
2473,312,1
2474,291,1
2476,312,1
2477,310,1
2478,313,1
2480,61,1
2481,60,1
2482,293,1
2483,70,1
2484,56,1
2485,79,1
2486,81,1
2487,76,1
2488,75,1
2489,146,1
2490,145,1
2492,42,1
2493,43,1
2494,42,1
2495,75,1
2496,34,1
2497,114,1
2499,138,1
2500,138,1
2501,132,1
2504,128,1
2505,119,1
2506,174,1
2508,180,1
2509,172,1
2510,165,1
2511,165,1
2512,165,1
2513,147,1
2514,58,1
2515,23,1
2516,87,1
2517,99,1
2518,99,1
2519,253,1
2520,206,1
2521,218,1
2522,179,1
2523,275,1
2524,276,1
2525,271,1
2526,270,1
2528,270,1
2530,276,1
2531,272,1
2534,180,1
2535,180,1
2536,41,1
2537,41,1
2538,41,1
2539,31,1
2540,230,1
2541,230,1
2543,235,1
2544,206,1
2545,258,1
2546,252,1
2547,252,1
2548,252,1
2549,252,1
2550,252,1
2551,252,1
2552,227,1
2553,217,1
2554,215,1
2555,181,1
2556,210,1
2557,221,1
2558,221,1
2559,169,1
2560,217,1
2561,204,1
2562,227,1
2563,215,1
2564,247,1
2565,60,1
2566,166,1
2567,152,1
2568,160,1
2569,165,1
2570,152,1
2571,167,1
2572,173,1
2573,152,1
2574,148,1
2594,64,1
2595,49,1
2614,69,1
2615,53,1
2654,182,1
2655,182,1
2656,167,1
2674,182,1
2675,182,1
2676,186,1
2694,49,1
2695,49,1
2696,49,1
2714,68,1
2715,68,1
2734,75,1
2754,67,1
2774,251,1
2794,5,1
2814,6,1
